Date,Open,High,Low,Close,Volume
10/16/2020,13.77,13.9,13.08,13.31,"11,651,580"
10/15/2020,11.99,15.1,11.99,13.83,"39,894,820"
10/14/2020,12.67,12.68,12.05,12.25,"10,776,760"
10/13/2020,11.73,12.42,11.65,11.88,"10,179,710"
10/12/2020,11.66,12.77,11.4,11.8,"23,655,699"
10/9/2020,12.83,14.8,11.9,12.02,"77,152,781"
10/8/2020,9.54,13.64,9.19,13.49,"76,453,562"
10/7/2020,9.23,9.56,9.17,9.36,"3,308,644"
10/6/2020,9.56,9.84,9.1,9.13,"4,535,421"
10/5/2020,9.44,9.59,9.25,9.46,"2,804,969"
10/2/2020,9.38,9.78,9.3,9.39,"4,340,484"
10/1/2020,10.09,10.25,9.69,9.77,"4,554,055"
9/30/2020,10.25,10.76,10.06,10.2,"6,079,033"
9/29/2020,10,10.65,9.93,10.35,"5,244,339"
9/28/2020,10.16,10.26,9.55,10.09,"6,764,323"
9/25/2020,9.19,10.18,9.1,10.02,"7,515,157"
9/24/2020,9.71,9.81,9.01,9.14,"7,938,838"
9/23/2020,10.6,10.86,9.92,10.04,"10,651,150"
9/22/2020,10.45,11.17,9.9,10.56,"34,752,480"
9/21/2020,9.35,9.6,8.38,8.75,"7,639,806"
9/18/2020,9.2,9.77,8.91,9.47,"17,407,510"
9/17/2020,8.57,9.77,8.41,9.2,"17,026,721"
9/16/2020,7.03,9.04,7.03,8.68,"19,346,510"
9/15/2020,6.86,7.26,6.69,7.09,"5,743,489"
9/14/2020,6.8,7,6.43,6.91,"10,118,970"
9/11/2020,6.26,6.33,5.87,6.09,"6,061,190"
9/10/2020,6.65,6.95,6.19,6.23,"15,558,280"
9/9/2020,7.96,7.99,7.31,7.35,"9,068,082"
9/8/2020,7.55,8.28,7.48,7.7,"9,816,620"
9/4/2020,7.78,7.92,7.17,7.65,"7,661,994"
9/3/2020,7.88,8.45,7.24,7.82,"14,344,500"
9/2/2020,7.8,8.05,7.11,7.71,"13,011,110"
9/1/2020,7.3,7.82,6.77,7.65,"23,211,051"
8/31/2020,5.77,7.15,5.69,6.68,"37,976,000"
8/28/2020,5.3,5.57,5.22,5.39,"4,236,926"
8/27/2020,5.11,5.38,5.02,5.25,"3,384,658"
8/26/2020,4.97,5.22,4.92,5.11,"2,779,664"
8/25/2020,4.88,5.25,4.88,4.98,"2,998,678"
8/24/2020,5.1,5.13,4.56,4.87,"4,585,366"
8/21/2020,4.6,5.6,4.6,5.03,"10,642,590"
8/20/2020,4.62,4.68,4.51,4.61,"2,441,184"
8/19/2020,4.8,4.84,4.64,4.72,"2,612,583"
